,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,s_timestamp,patient,session,task
28-07-2021 11:18:06.601864240975762,-0.36328125,0.5214844,0.78515625,-2.21875,-0.6875,2.0625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-07-28 11:18:05.707000,9001440019,1,1
28-07-2021 11:18:06.602864241715762,-0.91015625,-0.28808594,-0.2763672,-1.125,-0.8125,-0.875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-07-28 11:18:05.707000,9001440019,1,1
28-07-2021 11:18:06.603864242332169,-0.9794922,-0.1015625,0.24902344,0.90625,-0.25,0.03125,0.0,0.0,0.0,C9:CE:E1:82:70:C3,2021-07-28 11:18:05.707000,9001440019,1,1
28-07-2021 11:18:06.609864248858523,-0.91308594,-0.29003906,-0.26953125,-1.125,-0.875,-0.875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-07-28 11:18:05.721290,9001440019,1,1
28-07-2021 11:18:06.610864249529929,-0.953125,0.20410156,-0.22070312,-0.25,1.6875,-0.3125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-07-28 11:18:05.707000,9001440019,1,1
28-07-2021 11:18:06.614864253268314,-0.97753906,-0.11621094,0.23046875,0.96875,-0.3125,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,2021-07-28 11:18:05.721490,9001440019,1,1
28-07-2021 11:18:06.624864263109512,-0.9472656,0.20117188,-0.22363281,0.0,1.75,-0.25,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-07-28 11:18:05.721290,9001440019,1,1
28-07-2021 11:18:06.632864271584669,-0.36816406,0.5097656,0.7939453,-3.1875,0.34375,1.5625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-07-28 11:18:05.721290,9001440019,1,1
28-07-2021 11:18:06.632864271768106,-0.91796875,-0.28320312,-0.2919922,-1.40625,-0.6875,-0.8125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-07-28 11:18:05.735580,9001440019,1,1
28-07-2021 11:18:06.633864271910346,-0.9433594,0.20898438,-0.22753906,0.09375,1.625,-0.25,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-07-28 11:18:05.735580,9001440019,1,1
28-07-2021 11:18:06.633864272848887,-0.37109375,0.5078125,0.79296875,-3.1875,0.46875,0.53125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-07-28 11:18:05.735580,9001440019,1,1
28-07-2021 11:18:06.637864276324616,-0.97753906,-0.107421875,0.24121094,0.96875,-0.1875,0.0,0.0,0.0,0.0,C9:CE:E1:82:70:C3,2021-07-28 11:18:05.735980,9001440019,1,1
28-07-2021 11:18:06.640864279339252,-0.37402344,0.5029297,0.78515625,-1.78125,0.96875,0.03125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-07-28 11:18:05.749870,9001440019,1,1
