,OnAccelerometerValueChangedEvent_x,OnAccelerometerValueChangedEvent_y,OnAccelerometerValueChangedEvent_z,OnGyroscopeValueChangedEvent_x,OnGyroscopeValueChangedEvent_y,OnGyroscopeValueChangedEvent_z,onCompassValueChangedEvent_x,onCompassValueChangedEvent_y,onCompassValueChangedEvent_z,mac,s_timestamp,patient,session,task
22-09-2021 14:54:09.0307132859577745,-0.5371094,-0.71484375,0.5019531,-1.96875,0.40625,-1.0625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.179000,9004082173,1,4
22-09-2021 14:54:09.0407132869555089,-0.5439453,-0.71484375,0.4892578,-1.34375,0.46875,-1.1875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.194150,9004082173,1,4
22-09-2021 14:54:09.0437132873337745,-0.9794922,-0.16308594,-0.115234375,-0.1875,1.03125,0.28125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.179000,9004082173,1,4
22-09-2021 14:54:09.0487132878216652,-0.9560547,0.25097656,-0.10253906,-0.5,-0.5625,-0.3125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.179000,9004082173,1,4
22-09-2021 14:54:09.0737132903244412,-0.5332031,-0.7080078,0.4921875,-2.09375,0.40625,0.03125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.209300,9004082173,1,4
22-09-2021 14:54:09.0747132903670141,-0.52441406,-0.71875,0.49609375,-3.3125,0.46875,-1.125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.224450,9004082173,1,4
22-09-2021 14:54:09.0807132910189829,-0.9863281,-0.1484375,-0.125,-0.125,1.28125,0.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.194150,9004082173,1,4
22-09-2021 14:54:09.0817132910564568,-0.9941406,-0.15429688,-0.10546875,-0.1875,1.28125,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.209300,9004082173,1,4
22-09-2021 14:54:09.0817132910832224,-0.9501953,0.25390625,-0.10839844,-0.375,-0.5,-0.4375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.194150,9004082173,1,4
22-09-2021 14:54:09.0857132914479204,-0.953125,0.2529297,-0.10839844,-0.5,-0.5,-0.5,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.209300,9004082173,1,4
22-09-2021 14:54:09.0857132914767068,-0.53222656,-0.7236328,0.49804688,-2.21875,0.46875,-1.3125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.239600,9004082173,1,4
22-09-2021 14:54:09.0947132923613683,-0.9589844,0.24707031,-0.11230469,-0.6875,-0.6875,-0.625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.224450,9004082173,1,4
22-09-2021 14:54:09.1007132929535974,-0.9785156,-0.15136719,-0.12109375,-0.125,1.4375,0.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.224450,9004082173,1,4
22-09-2021 14:54:09.1107132939988318,-0.53125,-0.71972656,0.5058594,-0.8125,0.59375,-0.375,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.254750,9004082173,1,4
22-09-2021 14:54:09.1117132941127902,-0.9902344,-0.16113281,-0.11621094,0.15625,1.3125,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.239600,9004082173,1,4
22-09-2021 14:54:09.1167132945908891,-0.9560547,0.25097656,-0.11328125,-0.5625,-0.4375,-0.4375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.239600,9004082173,1,4
22-09-2021 14:54:09.1187132947982224,-0.53027344,-0.71191406,0.48632812,-1.40625,0.59375,-0.125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.269900,9004082173,1,4
22-09-2021 14:54:09.1217132951139516,-0.9814453,-0.15625,-0.10546875,-0.0625,1.15625,0.03125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.254750,9004082173,1,4
22-09-2021 14:54:09.1277132956750714,-0.9589844,0.2578125,-0.11035156,-0.5,-0.5625,-0.375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.254750,9004082173,1,4
22-09-2021 14:54:09.1337132963383214,-0.97753906,-0.15625,-0.11816406,-0.0625,1.28125,0.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.269900,9004082173,1,4
22-09-2021 14:54:09.1427132971678735,-0.5390625,-0.7265625,0.4951172,-2.34375,0.65625,-0.5625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.285050,9004082173,1,4
22-09-2021 14:54:09.1497132979321495,-0.9394531,0.25683594,-0.11621094,-0.5,-0.5,-0.4375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.269900,9004082173,1,4
22-09-2021 14:54:09.1527132981533422,-0.5361328,-0.7265625,0.50683594,-1.90625,0.65625,-0.3125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.300200,9004082173,1,4
22-09-2021 14:54:09.1587132988369516,-0.98535156,-0.15625,-0.11425781,-0.125,1.28125,0.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.285050,9004082173,1,4
22-09-2021 14:54:09.1617132990777641,-0.9511719,0.24902344,-0.12109375,-0.6875,-0.625,-0.625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.285050,9004082173,1,4
22-09-2021 14:54:09.1657132994653370,-0.5341797,-0.70703125,0.48632812,-2.21875,0.65625,0.15625,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.315350,9004082173,1,4
22-09-2021 14:54:09.1677132996525870,-0.984375,-0.14941406,-0.115234375,-0.1875,1.28125,0.21875,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.300200,9004082173,1,4
22-09-2021 14:54:09.1767133005659829,-0.95410156,0.25976562,-0.11328125,-0.9375,-0.5625,-0.6875,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.300200,9004082173,1,4
22-09-2021 14:54:09.1767133006005714,-0.5332031,-0.71777344,0.49804688,-2.15625,0.59375,-0.875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.330500,9004082173,1,4
22-09-2021 14:54:09.1787133007782172,-0.9785156,-0.16992188,-0.11035156,0.0,1.3125,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.315350,9004082173,1,4
22-09-2021 14:54:09.1837133012928995,-0.95410156,0.24511719,-0.10839844,-0.6875,-0.5,-0.5625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.315350,9004082173,1,4
22-09-2021 14:54:09.1977133027274881,-0.5283203,-0.7246094,0.49804688,-2.03125,0.40625,-0.8125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.345650,9004082173,1,4
22-09-2021 14:54:09.2017133030429464,-0.98828125,-0.15429688,-0.11230469,0.0,1.3125,0.03125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.330500,9004082173,1,4
22-09-2021 14:54:09.2137133042358735,-0.9628906,0.24902344,-0.10546875,-0.8125,-0.4375,-0.375,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.330500,9004082173,1,4
22-09-2021 14:54:09.2137133042479881,-0.5341797,-0.7138672,0.49121094,-2.03125,0.46875,0.21875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.360800,9004082173,1,4
22-09-2021 14:54:09.2147133043925349,-0.9863281,-0.15625,-0.119140625,0.0,1.3125,0.03125,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.345650,9004082173,1,4
22-09-2021 14:54:09.2177133046697954,-0.9580078,0.25390625,-0.11230469,-0.5,-0.5625,-0.3125,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.345650,9004082173,1,4
22-09-2021 14:54:09.2197133048674464,-0.5341797,-0.71191406,0.48828125,-3.0,0.15625,-0.1875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.375950,9004082173,1,4
22-09-2021 14:54:09.2237133052753006,-0.9785156,-0.1640625,-0.11425781,-0.125,1.28125,0.0,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.360800,9004082173,1,4
22-09-2021 14:54:09.2287133057938006,-0.9580078,0.27246094,-0.107421875,-0.5,-0.4375,-0.5625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.360800,9004082173,1,4
22-09-2021 14:54:09.2437133072990662,-0.53515625,-0.7236328,0.48046875,-3.1875,0.15625,-0.1875,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.391100,9004082173,1,4
22-09-2021 14:54:09.2467133075587589,-0.99609375,-0.16699219,-0.103515625,0.0,1.21875,0.15625,0.0,0.0,0.0,CD:98:11:6E:DB:A3,2021-09-22 14:54:08.375950,9004082173,1,4
22-09-2021 14:54:09.2517133081113214,-0.9560547,0.26171875,-0.11230469,-0.6875,-0.4375,-0.5625,0.0,0.0,0.0,F9:C2:5B:8A:BB:96,2021-09-22 14:54:08.375950,9004082173,1,4
22-09-2021 14:54:09.2537133082744464,-0.53222656,-0.72753906,0.47558594,-2.40625,0.40625,0.03125,0.0,0.0,0.0,E8:43:CA:7C:8C:39,2021-09-22 14:54:08.406250,9004082173,1,4
